legacy_path,category,original_method,identified_issue,corrected_method,final_location,scientific_status,disposition,corrected_counterpart,bytes,crc32
Vichama_Kspaces/GO_per_chem_per_module/PFBA_Module_2.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",3414,75097db3
Vichama_Kspaces/GO_per_chem_per_module/PFBA_Module_3.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",1786,05b3e065
Vichama_Kspaces/GO_per_chem_per_module/PFBA_Noise_(0D).csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",1272,bb671b0b
Vichama_Kspaces/GO_per_chem_per_module/PFBSA_Module_0.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",2750,e8452316
Vichama_Kspaces/GO_per_chem_per_module/PFBSA_Module_1.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",51905,e3e6c1ae
Vichama_Kspaces/GO_per_chem_per_module/PFBSA_Module_2.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",2118,c11fae87
Vichama_Kspaces/GO_per_chem_per_module/PFBSA_Module_3.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",14595,51bc24ad
Vichama_Kspaces/GO_per_chem_per_module/PFBSA_Noise_(0D).csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",450,db6540c0
Vichama_Kspaces/GO_per_chem_per_module/PFBS_Module_0.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",2592,f8691b50
Vichama_Kspaces/GO_per_chem_per_module/PFBS_Module_1.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",12230,05e7d073
Vichama_Kspaces/GO_per_chem_per_module/PFBS_Module_2.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",4664,45a50266
Vichama_Kspaces/GO_per_chem_per_module/PFBS_Module_3.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",1798,44c217c3
Vichama_Kspaces/GO_per_chem_per_module/PFBS_Noise_(0D).csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",3022,2a65f02f
Vichama_Kspaces/GO_per_chem_per_module/PFEESA_Module_0.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",2063,087a49a2
Vichama_Kspaces/GO_per_chem_per_module/PFEESA_Module_1.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",6537,d3f29153
Vichama_Kspaces/GO_per_chem_per_module/PFEESA_Module_2.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",4685,5ed0f41c
Vichama_Kspaces/GO_per_chem_per_module/PFEESA_Noise_(0D).csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",3076,f1c84c64
Vichama_Kspaces/GO_per_chem_per_module/PFNA_Module_0.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",3336,c356c6e9
Vichama_Kspaces/GO_per_chem_per_module/PFNA_Module_1.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",5577,0d8f5d6c
Vichama_Kspaces/GO_per_chem_per_module/PFNA_Module_2.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",2079,61f24c2d
Vichama_Kspaces/GO_per_chem_per_module/PFNA_Module_3.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",1488,ebacb2ae
Vichama_Kspaces/GO_per_chem_per_module/PFNA_Noise_(0D).csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",4612,80c77e3b
Vichama_Kspaces/GO_per_chem_per_module/PFOA_Module_0.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",5446,939241c1
Vichama_Kspaces/GO_per_chem_per_module/PFOA_Module_1.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",6948,9e42e745
Vichama_Kspaces/GO_per_chem_per_module/PFOA_Module_2.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",1272,ed413d68
Vichama_Kspaces/GO_per_chem_per_module/PFOA_Noise_(0D).csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",4526,0a0e1792
Vichama_Kspaces/GO_per_chem_per_module/PFOSA_Module_0.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",18680,d2444379
Vichama_Kspaces/GO_per_chem_per_module/PFOSA_Module_1.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",58729,a62c1cb0
Vichama_Kspaces/GO_per_chem_per_module/PFOSA_Module_2.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",3869,fea3c61c
Vichama_Kspaces/GO_per_chem_per_module/PFOSA_Module_3.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",16712,10aae78d
Vichama_Kspaces/GO_per_chem_per_module/PFOSA_Noise_(0D).csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",1261,14ee8ed3
Vichama_Kspaces/GO_per_chem_per_module/PFOS_Module_0.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",5577,32f37b47
Vichama_Kspaces/GO_per_chem_per_module/PFOS_Module_1.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",10656,6a0d9d5a
Vichama_Kspaces/GO_per_chem_per_module/PFOS_Module_2.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",2306,86e5c5d4
Vichama_Kspaces/GO_per_chem_per_module/PFOS_Module_3.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",701,ff70ce60
Vichama_Kspaces/GO_per_chem_per_module/PFOS_Noise_(0D).csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",1829,12dd25f1
Vichama_Kspaces/GO_per_chem_per_module/PFPeA_Module_0.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",13888,2bf3d4f5
Vichama_Kspaces/GO_per_chem_per_module/PFPeA_Module_1.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",51371,8a9ceff3
Vichama_Kspaces/GO_per_chem_per_module/PFPeA_Module_2.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",1142,a9a05425
Vichama_Kspaces/GO_per_chem_per_module/PFPeA_Module_3.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",19719,4f09db07
Vichama_Kspaces/GO_per_chem_per_module/PFPeA_Noise_(0D).csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",2798,c62fd679
Vichama_Kspaces/GO_per_chem_per_module_barplots.png,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",2291935,12867e03
Vichama_Kspaces/GO_per_chem_per_module_barplots_all.png,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",1999166,2985dff4
Vichama_Kspaces/GO_per_chem_per_module_combined.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",380764,8e77c8b6
Vichama_Kspaces/GO_per_chem_per_module_heatmap.png,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",150333,3e0dbd71
Vichama_Kspaces/GO_per_chem_per_module_heatmap_updated.png,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",159361,6e798fa3
Vichama_Kspaces/GO_per_chem_per_module_skipped.csv,chemical-module GO,GO enrichment for each chemical and historical module,"Live enrichment, default background, separate corrections, and single-fit modules","Use pinned annotations, mapped populations, consensus modules, and one declared family-wide correction",output/deep_analysis/GO_per_chemical_per_module/,incorrect and replaced,incorrect and replaced,"Replace with a pinned, mapped, family-wide corrected 10 by 5 analysis.",393,4d53ce2a
Vichama_Kspaces/GO_shared_genes_per_PFAS/GenX_shared_GO.csv,GO enrichment,Module-wise GO enrichment,Background mapping and multiplicity family were not fully controlled,Use namespace-mapped eligible populations and one family-wide BH correction,output/kspaces_runs/go_enrichment/consensus_k5_GO_enrichment.csv,valid but improved,valid but improved,"Use mapped measured-gene background, pinned local annotations, and family-wide correction.",11151,c7838a15
Vichama_Kspaces/GO_shared_genes_per_PFAS/PFBA_shared_GO.csv,GO enrichment,Module-wise GO enrichment,Background mapping and multiplicity family were not fully controlled,Use namespace-mapped eligible populations and one family-wide BH correction,output/kspaces_runs/go_enrichment/consensus_k5_GO_enrichment.csv,valid but improved,valid but improved,"Use mapped measured-gene background, pinned local annotations, and family-wide correction.",3984,9b01f250
Vichama_Kspaces/GO_shared_genes_per_PFAS/PFBSA_shared_GO.csv,GO enrichment,Module-wise GO enrichment,Background mapping and multiplicity family were not fully controlled,Use namespace-mapped eligible populations and one family-wide BH correction,output/kspaces_runs/go_enrichment/consensus_k5_GO_enrichment.csv,valid but improved,valid but improved,"Use mapped measured-gene background, pinned local annotations, and family-wide correction.",41494,e56bcf49
Vichama_Kspaces/GO_shared_genes_per_PFAS/PFBS_shared_GO.csv,GO enrichment,Module-wise GO enrichment,Background mapping and multiplicity family were not fully controlled,Use namespace-mapped eligible populations and one family-wide BH correction,output/kspaces_runs/go_enrichment/consensus_k5_GO_enrichment.csv,valid but improved,valid but improved,"Use mapped measured-gene background, pinned local annotations, and family-wide correction.",12440,bef86254
Vichama_Kspaces/GO_shared_genes_per_PFAS/PFEESA_shared_GO.csv,GO enrichment,Module-wise GO enrichment,Background mapping and multiplicity family were not fully controlled,Use namespace-mapped eligible populations and one family-wide BH correction,output/kspaces_runs/go_enrichment/consensus_k5_GO_enrichment.csv,valid but improved,valid but improved,"Use mapped measured-gene background, pinned local annotations, and family-wide correction.",6196,31fb8239
Vichama_Kspaces/GO_shared_genes_per_PFAS/PFNA_shared_GO.csv,GO enrichment,Module-wise GO enrichment,Background mapping and multiplicity family were not fully controlled,Use namespace-mapped eligible populations and one family-wide BH correction,output/kspaces_runs/go_enrichment/consensus_k5_GO_enrichment.csv,valid but improved,valid but improved,"Use mapped measured-gene background, pinned local annotations, and family-wide correction.",10247,c563ad66
Vichama_Kspaces/GO_shared_genes_per_PFAS/PFOA_shared_GO.csv,GO enrichment,Module-wise GO enrichment,Background mapping and multiplicity family were not fully controlled,Use namespace-mapped eligible populations and one family-wide BH correction,output/kspaces_runs/go_enrichment/consensus_k5_GO_enrichment.csv,valid but improved,valid but improved,"Use mapped measured-gene background, pinned local annotations, and family-wide correction.",3510,189ccf71
Vichama_Kspaces/GO_shared_genes_per_PFAS/PFOSA_shared_GO.csv,GO enrichment,Module-wise GO enrichment,Background mapping and multiplicity family were not fully controlled,Use namespace-mapped eligible populations and one family-wide BH correction,output/kspaces_runs/go_enrichment/consensus_k5_GO_enrichment.csv,valid but improved,valid but improved,"Use mapped measured-gene background, pinned local annotations, and family-wide correction.",119515,707c951a
Vichama_Kspaces/GO_shared_genes_per_PFAS/PFOS_shared_GO.csv,GO enrichment,Module-wise GO enrichment,Background mapping and multiplicity family were not fully controlled,Use namespace-mapped eligible populations and one family-wide BH correction,output/kspaces_runs/go_enrichment/consensus_k5_GO_enrichment.csv,valid but improved,valid but improved,"Use mapped measured-gene background, pinned local annotations, and family-wide correction.",3532,22e58b32
Vichama_Kspaces/GO_shared_genes_per_PFAS/PFPeA_shared_GO.csv,GO enrichment,Module-wise GO enrichment,Background mapping and multiplicity family were not fully controlled,Use namespace-mapped eligible populations and one family-wide BH correction,output/kspaces_runs/go_enrichment/consensus_k5_GO_enrichment.csv,valid but improved,valid but improved,"Use mapped measured-gene background, pinned local annotations, and family-wide correction.",114053,c080eed4
Vichama_Kspaces/GO_shared_genes_per_PFAS_combined.csv,GO enrichment,Module-wise GO enrichment,Background mapping and multiplicity family were not fully controlled,Use namespace-mapped eligible populations and one family-wide BH correction,output/kspaces_runs/go_enrichment/consensus_k5_GO_enrichment.csv,valid but improved,valid but improved,"Use mapped measured-gene background, pinned local annotations, and family-wide correction.",324709,4748b60f
